id,invoice_id,credit_card_number,result,created_at,updated_at
1,1,4654410000000000,success,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
2,2,4580250000000000,success,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
3,4,4354500000000000,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
4,5,4515550000000000,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
5,6,4844520000000000,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
6,7,4203700000000000,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
7,8,4801650000000000,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
8,9,4540840000000000,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
9,10,4140150000000000,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
10,11,4923660000000000,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
11,12,4800750000000000,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
12,12,4017500000000000,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
13,12,4536900000000000,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
14,13,4411510000000000,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
15,13,4869640000000000,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
16,15,4738850000000000,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
17,16,4763140000000000,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
18,17,4214500000000000,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
19,18,4436110000000000,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
20,19,4332880000000000,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
21,20,4886440000000000,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
22,21,4252150000000000,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
23,22,4822760000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
24,23,4090450000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
25,24,4173080000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
26,25,4920120000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
27,26,4740910000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
28,27,4972250000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
29,28,4520870000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
30,29,4084470000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
31,30,4094110000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
32,31,4993980000000000,failed,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
33,31,4010780000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
34,32,4518520000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
35,33,4504300000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
36,34,4256260000000000,failed,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
37,34,4989270000000000,failed,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
38,34,4908530000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
39,35,4046000000000000,failed,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
40,35,4927530000000000,failed,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
41,36,4891570000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
42,37,4116440000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
43,38,4530250000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
44,39,4194820000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
45,40,4873390000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
46,41,4993600000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
47,42,4951000000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
48,43,4844630000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
49,44,4211070000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
50,45,4232570000000000,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
51,46,4517970000000000,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
52,47,4168940000000000,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
53,48,4997360000000000,failed,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
54,48,4777860000000000,failed,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
55,49,4795150000000000,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
56,50,4956830000000000,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
57,51,4183070000000000,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
58,52,4218660000000000,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
59,53,4933370000000000,failed,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
60,53,4441400000000000,failed,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
61,53,4537250000000000,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
62,54,4749930000000000,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
63,55,4105040000000000,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
64,56,4919390000000000,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
65,57,4353140000000000,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
66,58,4529650000000000,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
67,59,4219320000000000,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
68,60,4081660000000000,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
69,61,4970670000000000,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
